Rank,University_Name,State,Year,SS_Score,Predicted_SS_Score,NT_Total,NE_Total,NP_Total
1,Indian Institute of Technology Madras,Tamil Nadu,2024,18.5,,7029,7817,2574
2,Indian Institute of Technology Delhi,Delhi,2024,18.5,,8684,8296,3807
3,Indian Institute of Technology Bombay,Maharashtra,2024,18.5,,6866,8531,3987
4,Indian Institute of Technology Kanpur,Uttar Pradesh,2024,18.33,,6825,6123,2057
5,Indian Institute of Technology Kharagpu,West Bengal,2024,19.76,,12130,11051,3676
6,Indian Institute of Technology Roorkee,Uttarakhand,2024,17.66,,7449,6465,2764
7,Indian Institute of Technology Guwahati,Assam,2024,18.32,,6114,5530,1994
8,Indian Institute of Technology Hyderabad,Telangana,2024,12.41,,2883,2444,800
9,National Institute of Technology Tiruchirappalli,Tamil Nadu,2024,17.5,,5507,5411,956
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,2024,16.28,,7817,6764,1045
11,Vellore Institute of Technology,Tamil Nadu,2024,20,,41222,43299,2938
12,Jadavpur University,West Bengal,2024,18.5,,6150,5764,1057
13,S.R.M. Institute of Science and Technology,Tamil Nadu,2024,18.04,,25290,21219,1422
14,Anna University,Tamil Nadu,2024,15.94,,13359,9926,1489
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,Jharkhand,2024,15.43,,6113,4826,1102
16,Indian Institute of Technology Indore,Madhya Pradesh,2024,10.73,,2113,1713,610
17,"National Institute of Technology Karnataka, Surathkal",Karnataka,2024,17.5,,4418,5553,1120
18,Indian Institute of Technology Gandhinagar,Gujarat,2024,11.5,,1205,1121,562
19,National Institute of Technology Rourkela,Odisha,2024,17.5,,5528,5439,924
20,"Birla Institute of Technology and Science, Pilani",Rajasthan,2024,17.87,,13321,12440,707
21,National Institute of Technology Warangal,Telangana,2024,16.5,,5723,5448,672
22,Indian Institute of Technology Ropar,Punjab,2024,12.41,,2210,1897,871
23,Amrita Vishwa Vidyapeetham,Tamil Nadu,2024,16.22,,14569,11936,917
24,Jamia Millia Islamia,Delhi,2024,10.5,,1859,1743,335
25,National Institute of Technology Calicut,Kerala,2024,12.53,,4942,4556,764
26,Siksha `O` Anusandhan,Odisha,2024,18.23,,21607374,8957,815
27,Delhi Technological University,Delhi,2024,16.47,,11589,10758,1368
28,Indian Institute of Technology Jodhpu,Rajasthan,2024,12.53,,2528,2170,734
29,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,2024,18.23,,10983,9730,633
30,Amity University,Uttar Pradesh,2024,16.47,,6164,5702,993
31,Indian Institute of Technology Mandi,Himachal Pradesh,2024,9.79,,2151,1768,496
32,Chandigarh University,Punjab,2024,17.95,,14462,13443,621
33,Aligarh Muslim University,Uttar Pradesh,2024,11,,2342,2431,266
34,Indian Institute of Technology Patna,Bihar,2024,12.02,,2510,2088,640
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Andhra Pradesh,2024,17.47,,14679,13248,817
36,Kalasalingam Academy of Research and Education,Tamil Nadu,2024,16.48,,6740,6276,513
37,Kalinga Institute of Industrial Technology,Odisha,2024,20,,13840,13957,1257
38,Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,2024,16.32,,9170,8381,529
39,Visvesvaraya National Institute of Technology Nagpur,Maharashtra,2024,13.94,,4596,3925,445
40,National Institute of Technology Silchar,Assam,2024,14.35,,4264,3817,645
41,Institute of Chemical Technology,Maharashtra,2024,10.37,,2392,2059,309
42,UPES,Uttarakhand,2024,15.5,,5739,5389,364
43,Malaviya National Institute of Technology,Rajasthan,2024,14.97,,4626,3974,829
44,National Institute of Technology Durgapur,West Bengal,2024,14.09,,4435,3850,685
45,National Institute of Technology Delhi,Delhi,2024,7.96,,993,902,103
46,Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,2024,13.05,,3838,3631,505
