,Rank,University_Name,State,Year,SS_Score,Predicted_SS_Score,NT_Total,NE_Total,NP_Total
0,1,Indian Institute of Technology,Chennai,2025,18.5,18.304905251641426,6289,6453,1998
1,2,Indian Institute of Technology,New Delhi,2025,16.45,17.96318223081459,8131,6897,3412
2,3,Indian Institute of Technology,Mumbai,2025,18.5,18.538211685093856,7939,8826,3989
3,4,Indian Institute of Technology,Kanpur,2025,18.18,18.341581843223043,6589,6432,2111
4,5,Indian Institute of Technology,Kharagpur,2025,18.23,18.538211685093856,9523,9334,3409
5,6,Indian Institute of Technology,Roorkee,2025,17.75,17.6795651131994,7260,6857,2824
6,7,Indian Institute of Technology,Hyderabad,2025,12.49,12.329262462429893,2989,2818,876
7,8,Indian Institute of Technology,Guwahati,2025,17.86,18.045706131227586,5684,5413,2320
8,9,National Institute of Technology,Tiruchirapalli,2025,17.5,16.736691641538744,5172,5296,821
9,10,Indian Institute of Technology (Banaras Hindu University),Varanasi,2025,17.62,17.122984037962368,7696,7195,1196
10,11,Birla Institute of Technology & Science,Pilani,2025,19.0,17.590721299741485,11567,11607,852
11,12,Indian Institute of Technology,Indore,2025,12.55,11.624944663361376,2092,1987,674
12,13,National Institute of Technology,Rourkela,2025,17.5,16.736691641538744,5192,5332,940
13,14,S.R.M Institute of Science & Technology,Chennai,2025,17.82,17.92494781990772,23494,21646,1494
14,15,Indian Institute of Technology (Indian School of Mines),Dhanbad,2025,15.87,16.2800437992318,5771,5073,1372
15,16,Vellore Institute of Technology,Vellore,2025,20.0,19.957245306439635,38973,44865,2912
16,17,National Institute of Technology Karnataka,Surathkal,2025,17.5,15.683863951673962,4118,5501,887
17,18,Jadavpur University,Kolkata,2025,18.25,17.442821504714658,5770,5663,1072
18,19,Indian Institute of Technology,Patna,2025,12.48,12.07988411448817,2555,2407,742
19,20,Anna University,Chennai,2025,17.86,16.574269221108114,12197,10458,1736
20,21,National Institute of Technology Calicut,Kozhikode,2025,16.0,15.134008344416618,4540,4745,843
21,22,Siksha `O` Anusandhan,Bhubaneswar,2025,19.0,16.583677209295118,9840,10085,769
22,23,Amrita Vishwa Vidyapeetham,Coimbatore,2025,18.0,18.565937355174356,14534,14786,1110
23,24,Jamia Milia Islamia,New Delhi,2025,10.5,10.225462106601993,1748,1750,367
24,25,Indian Institute of Technology,Gandhinagar,2025,11.5,10.9316858389334,1450,1495,595
25,26,Indian Institute of Technology,Mandi,2025,12.45,11.6734954334871,2053,1928,720
26,27,Indian Institute of Technology,Jodhpur,2025,12.5,12.07988411448817,2536,2395,920
27,28,National Institute of Technology,Warangal,2025,16.16,16.254039668941044,5228,5097,833
28,29,Thapar University,Patiala,2025,18.0,14.87830557729379,10471,10484,495
29,30,Delhi Technological University,New Delhi,2025,19.0,17.955734661751443,10901,10938,1309
30,31,Chandigarh University,Punjab,2025,17.88,17.25610929574303,14247,14130,504
31,32,Indian Institute of Technology Ropar,Rupnagar,2025,11.7,12.049801748917034,2201,1884,973
32,33,Kalasingham Academy of Research and Education,Krishnan Koil,2025,16.49,15.668740820093609,6798,6792,517
33,34,Aligarh Muslim University,Aligarh,2025,11.0,10.400000987632913,2134,2449,233
34,35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,2025,18.65,18.382591847496055,13584,13271,941
35,36,Kalinga Institute of Industrial Technology,Bhubaneswar,2025,20.0,19.58981617485695,13624,13886,1306
36,37,Amity University,Gautam Budh Nagar,2025,13.6,16.58097555556505,7119,5589,1003
